step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,9.66289e-01,1.92756e+06,1.93634e+06,1.92756e+06,1.18645e-01,4.41072e-01,29
1000,1.98945e-02,5.07887e+00,7.29428e+00,1.93108e+01,2.70367e-01,9.86500e-01,41
2000,6.97286e-03,4.78769e+00,7.51722e+00,9.00558e+00,1.69536e-01,9.86476e-01,45
3000,5.91671e-03,4.49779e+00,7.79330e+00,1.90469e+01,1.24739e-01,9.86353e-01,50
4000,4.79119e-03,5.04785e+00,8.09873e+00,2.47523e+01,7.11311e-02,9.86482e-01,54
5000,4.12106e-03,4.99689e+00,8.75759e+00,1.02693e+01,4.64760e-02,9.86443e-01,58
6000,3.77996e-03,4.74401e+00,8.57514e+00,1.44364e+01,3.81196e-02,9.86349e-01,63
7000,4.87686e-03,4.59652e+00,6.95976e+00,9.70029e+00,2.64444e-02,9.86395e-01,67
8000,4.76104e-03,4.58913e+00,8.72267e+00,8.35618e+00,3.14886e-02,9.86382e-01,71
9000,4.78511e-03,4.44575e+00,7.33051e+00,1.08894e+01,2.34365e-02,9.86383e-01,75
10000,5.09429e-03,4.35815e+00,6.89657e+00,1.27546e+01,2.31527e-02,9.86398e-01,80
11000,5.13308e-03,4.90229e+00,8.43339e+00,1.04394e+01,1.97841e-02,9.86495e-01,84
12000,5.62316e-03,4.72286e+00,8.19357e+00,1.18254e+01,1.73046e-02,9.86448e-01,88
13000,5.16985e-03,5.14169e+00,7.82403e+00,8.77322e+00,2.06325e-02,9.86397e-01,92
14000,1.21099e-02,5.11808e+00,7.71951e+00,1.30620e+01,1.17229e-02,9.86428e-01,97
15000,1.49562e-02,4.61983e+00,7.48827e+00,1.07520e+01,1.17296e-02,9.86408e-01,101
16000,4.80409e-03,5.00975e+00,8.05848e+00,1.15716e+01,1.05605e-02,9.86416e-01,105
17000,5.94664e-03,4.85574e+00,7.48835e+00,6.88239e+00,9.66590e-03,9.86433e-01,109
18000,6.67538e-03,4.83093e+00,7.84902e+00,8.26295e+00,1.14472e-02,9.86431e-01,114
19000,7.16449e-03,4.99443e+00,7.34638e+00,7.32928e+00,9.81033e-03,9.86435e-01,118
20000,6.65412e-03,5.20696e+00,7.58130e+00,2.97056e+01,8.16803e-03,9.86400e-01,122
21000,8.50512e-03,5.01899e+00,6.84403e+00,4.03560e+01,8.82112e-03,9.86441e-01,126
22000,6.24809e-03,4.99709e+00,7.19933e+00,4.63844e+01,6.45288e-03,9.86388e-01,131
23000,7.27001e-03,5.08969e+00,7.72585e+00,6.33296e+01,6.21419e-03,9.86387e-01,135
24000,7.28124e-03,5.17378e+00,7.84112e+00,5.94983e+01,7.37209e-03,9.86415e-01,139
25000,7.08347e-03,5.02652e+00,8.42870e+00,3.75509e+01,4.91665e-03,9.86368e-01,143
26000,7.03864e-03,5.39014e+00,6.91414e+00,3.28099e+01,3.45211e-03,9.86408e-01,148
27000,7.30269e-03,5.38954e+00,7.35639e+00,2.20946e+01,3.45580e-03,9.86401e-01,152
28000,7.74014e-03,5.24034e+00,7.60923e+00,2.34784e+01,3.88490e-03,9.86387e-01,156
29000,7.51569e-03,4.96950e+00,7.16553e+00,1.95174e+01,2.83576e-03,9.86413e-01,160
30000,7.28645e-03,5.17873e+00,7.37960e+00,2.21748e+01,2.88797e-03,9.86412e-01,165
