step,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.67380e-02,2.46279e-03,489
1000,1.59169e-02,2.18373e-03,489
2000,1.58619e-02,2.20428e-03,489
3000,1.67003e-02,2.44202e-03,489
4000,1.60880e-02,2.22447e-03,489
5000,1.64142e-02,2.36824e-03,489
6000,1.65229e-02,2.39523e-03,489
7000,1.65221e-02,2.39998e-03,489
8000,1.61896e-02,2.26277e-03,489
9000,1.65116e-02,2.42830e-03,489
10000,1.55511e-02,2.08838e-03,489
11000,1.63841e-02,2.35851e-03,489
12000,1.66169e-02,2.42380e-03,489
13000,1.59664e-02,2.21436e-03,489
14000,1.60658e-02,2.25855e-03,489
15000,1.60620e-02,2.24772e-03,489
16000,1.53300e-02,2.05520e-03,489
17000,1.60861e-02,2.26676e-03,489
18000,1.59322e-02,2.22567e-03,489
19000,1.61018e-02,2.29231e-03,489
20000,1.58929e-02,2.16281e-03,489
21000,1.56769e-02,2.18315e-03,489
22000,1.57286e-02,2.20649e-03,489
23000,1.61859e-02,2.26960e-03,489
24000,1.59719e-02,2.26040e-03,489
25000,1.60857e-02,2.25575e-03,489
26000,1.62825e-02,2.37534e-03,489
27000,1.60913e-02,2.31818e-03,489
28000,1.65369e-02,2.36177e-03,489
29000,1.60211e-02,2.26507e-03,489
30000,1.67114e-02,2.38705e-03,490
31000,1.69696e-02,2.49605e-03,490
32000,1.63820e-02,2.31260e-03,490
33000,1.59858e-02,2.22473e-03,490
34000,1.63288e-02,2.30114e-03,490
35000,1.64942e-02,2.37638e-03,490
36000,1.61993e-02,2.30697e-03,490
37000,1.68043e-02,2.49980e-03,490
38000,1.57859e-02,2.14047e-03,490
39000,1.62339e-02,2.31019e-03,490
40000,1.65622e-02,2.38409e-03,490
41000,1.54540e-02,2.06149e-03,490
42000,1.60874e-02,2.22695e-03,490
43000,1.59876e-02,2.25700e-03,490
44000,1.58167e-02,2.22477e-03,490
45000,1.62991e-02,2.34018e-03,490
46000,1.59868e-02,2.25384e-03,490
47000,1.62093e-02,2.33304e-03,490
48000,1.61545e-02,2.30550e-03,490
49000,1.65039e-02,2.38280e-03,490
50000,1.57798e-02,2.18310e-03,490
51000,1.59027e-02,2.15984e-03,490
52000,1.60527e-02,2.25023e-03,490
53000,1.63405e-02,2.34095e-03,490
54000,1.57955e-02,2.17350e-03,490
55000,1.62425e-02,2.34773e-03,490
56000,1.58794e-02,2.18084e-03,490
57000,1.63389e-02,2.34707e-03,490
58000,1.61570e-02,2.27229e-03,490
59000,1.61047e-02,2.29060e-03,490
60000,1.60385e-02,2.26307e-03,490
61000,1.63104e-02,2.31819e-03,490
62000,1.68862e-02,2.48920e-03,490
63000,1.60863e-02,2.26896e-03,490
64000,1.55093e-02,2.10683e-03,491
65000,1.59071e-02,2.23145e-03,491
66000,1.72052e-02,2.60501e-03,491
67000,1.62543e-02,2.34129e-03,491
68000,1.63138e-02,2.34581e-03,491
69000,1.57557e-02,2.14704e-03,491
70000,1.56774e-02,2.15218e-03,491
71000,1.61356e-02,2.27814e-03,491
72000,1.59608e-02,2.22419e-03,491
73000,1.63652e-02,2.37251e-03,491
74000,1.59106e-02,2.22306e-03,491
75000,1.67395e-02,2.47624e-03,491
76000,1.58689e-02,2.12389e-03,491
77000,1.60169e-02,2.23771e-03,491
78000,1.62941e-02,2.34780e-03,491
79000,1.63291e-02,2.32304e-03,491
80000,1.57764e-02,2.17214e-03,491
81000,1.56965e-02,2.14552e-03,491
82000,1.61584e-02,2.31822e-03,491
83000,1.64943e-02,2.35927e-03,491
84000,1.58687e-02,2.14577e-03,491
85000,1.62818e-02,2.27851e-03,491
86000,1.64711e-02,2.36047e-03,491
87000,1.62516e-02,2.27801e-03,491
88000,1.62936e-02,2.35545e-03,491
89000,1.54253e-02,2.00812e-03,491
90000,1.60174e-02,2.23768e-03,491
91000,1.63133e-02,2.31279e-03,491
92000,1.52527e-02,2.02827e-03,491
93000,1.58854e-02,2.19422e-03,491
94000,1.62628e-02,2.33244e-03,491
95000,1.54269e-02,2.13621e-03,491
96000,1.58870e-02,2.22061e-03,491
97000,1.56272e-02,2.12296e-03,492
98000,1.54949e-02,2.07881e-03,492
99000,1.60696e-02,2.28534e-03,492
