step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.15313e+00,1.92756e+06,1.93634e+06,1.92756e+06,1.18645e-01,4.41072e-01,40
1000,4.18161e-04,5.07529e+00,7.90295e+00,2.94336e+00,3.36228e-01,9.86430e-01,55
2000,2.85509e-04,5.05965e+00,7.70515e+00,4.76123e+00,1.44704e-01,9.86493e-01,60
3000,2.28634e-04,4.69220e+00,8.08660e+00,5.13291e+00,1.52741e-01,9.86356e-01,65
4000,2.08872e-04,5.23274e+00,8.29722e+00,8.17526e+00,1.09296e-01,9.86463e-01,70
5000,1.44432e-04,5.33669e+00,8.75494e+00,9.64339e+00,8.49151e-02,9.86364e-01,75
6000,1.09202e-04,5.15787e+00,8.53256e+00,1.06399e+01,6.56680e-02,9.86404e-01,80
7000,1.36997e-04,4.94238e+00,6.99115e+00,1.18971e+01,3.96798e-02,9.86415e-01,85
8000,1.17903e-04,4.94075e+00,8.80134e+00,1.14123e+01,4.43105e-02,9.86410e-01,90
9000,1.47260e-04,4.77733e+00,7.34808e+00,1.46963e+01,3.61687e-02,9.86346e-01,95
10000,7.90387e-05,4.70925e+00,6.89863e+00,1.22858e+01,2.98113e-02,9.86393e-01,100
11000,1.04529e-04,5.21642e+00,8.45775e+00,1.24790e+01,2.76296e-02,9.86456e-01,105
12000,1.57159e-04,4.95428e+00,8.24991e+00,1.34629e+01,2.18967e-02,9.86390e-01,110
13000,1.36809e-04,5.34041e+00,8.06274e+00,1.10409e+01,1.92079e-02,9.86473e-01,115
14000,2.76804e-04,5.35751e+00,7.92474e+00,1.15980e+01,1.26619e-02,9.86355e-01,120
15000,4.49122e-05,5.03495e+00,7.73578e+00,1.08884e+01,1.23430e-02,9.86413e-01,125
16000,3.09445e-05,5.17854e+00,8.19171e+00,1.15708e+01,9.65498e-03,9.86414e-01,130
17000,3.85791e-05,5.02959e+00,7.62519e+00,1.04677e+01,1.21838e-02,9.86447e-01,135
18000,6.04997e-05,4.95406e+00,8.02888e+00,1.00029e+01,8.70399e-03,9.86426e-01,140
19000,3.20072e-05,5.03777e+00,7.62178e+00,1.07056e+01,6.92544e-03,9.86428e-01,145
20000,6.85871e-05,5.16007e+00,7.87892e+00,9.85938e+00,7.09103e-03,9.86399e-01,150
21000,7.16425e-05,4.92080e+00,7.21709e+00,9.70113e+00,8.08420e-03,9.86455e-01,155
22000,4.64217e-05,4.66821e+00,7.66248e+00,9.68293e+00,6.44798e-03,9.86413e-01,160
23000,4.31864e-05,4.96839e+00,8.07913e+00,9.28941e+00,5.05739e-03,9.86430e-01,165
24000,5.19140e-05,5.05983e+00,8.18410e+00,8.50793e+00,5.00135e-03,9.86421e-01,170
25000,6.08595e-05,4.93193e+00,8.76641e+00,9.13360e+00,4.19805e-03,9.86469e-01,175
26000,3.71174e-05,5.28150e+00,7.26954e+00,8.75382e+00,3.03305e-03,9.86398e-01,180
27000,3.98591e-05,5.27884e+00,7.70134e+00,9.05758e+00,2.82074e-03,9.86410e-01,185
28000,3.95849e-05,5.11665e+00,7.94928e+00,8.79074e+00,3.47939e-03,9.86409e-01,189
29000,1.99689e-05,4.84820e+00,7.52760e+00,8.55700e+00,1.86166e-03,9.86413e-01,194
30000,2.32065e-05,5.05981e+00,7.74623e+00,9.28175e+00,1.99518e-03,9.86414e-01,199
31000,2.08081e-05,5.11459e+00,7.85791e+00,8.56459e+00,1.62946e-03,9.86414e-01,204
32000,2.49400e-05,5.04759e+00,8.81047e+00,8.97253e+00,1.77216e-03,9.86421e-01,209
33000,1.80493e-05,5.53908e+00,7.85547e+00,9.11783e+00,1.60539e-03,9.86412e-01,214
34000,1.58945e-05,5.15644e+00,8.31070e+00,9.53477e+00,1.42328e-03,9.86403e-01,219
35000,1.81161e-05,5.39318e+00,7.69415e+00,9.36778e+00,1.69836e-03,9.86413e-01,224
36000,1.98490e-05,5.05326e+00,7.78297e+00,9.91727e+00,1.00225e-03,9.86407e-01,229
37000,1.97194e-05,5.04112e+00,7.76986e+00,9.58581e+00,1.53942e-03,9.86417e-01,234
38000,2.48905e-05,4.97760e+00,7.20954e+00,8.79586e+00,1.51122e-03,9.86410e-01,239
39000,1.74298e-05,5.31459e+00,8.35180e+00,9.03991e+00,1.66543e-03,9.86408e-01,244
40000,2.08199e-05,4.99616e+00,7.82426e+00,8.90646e+00,1.51861e-03,9.86407e-01,249
41000,1.95762e-05,5.44621e+00,7.93963e+00,9.22097e+00,2.05843e-03,9.86419e-01,254
42000,2.36414e-05,4.92713e+00,7.61752e+00,8.83876e+00,9.39799e-04,9.86413e-01,259
43000,1.47261e-05,5.03127e+00,7.85635e+00,8.96433e+00,9.87508e-04,9.86412e-01,264
44000,1.60306e-05,5.16203e+00,7.79501e+00,9.17150e+00,1.05292e-03,9.86413e-01,269
45000,1.63110e-05,5.13416e+00,7.15517e+00,9.40681e+00,9.13650e-04,9.86411e-01,274
46000,1.52981e-05,5.34307e+00,8.05865e+00,9.43290e+00,1.04950e-03,9.86410e-01,279
47000,1.69186e-05,5.12617e+00,7.20609e+00,8.94629e+00,9.48368e-04,9.86413e-01,284
48000,1.65776e-05,5.28033e+00,8.17209e+00,8.95987e+00,9.46214e-04,9.86412e-01,289
49000,2.32265e-05,5.00692e+00,7.39808e+00,9.02973e+00,9.44626e-04,9.86410e-01,294
50000,1.95571e-05,5.07417e+00,8.09097e+00,9.18661e+00,8.53168e-04,9.86411e-01,299
51000,1.67108e-05,5.21023e+00,7.35746e+00,8.68082e+00,9.09490e-04,9.86412e-01,304
52000,2.68247e-05,4.94691e+00,7.44016e+00,9.17651e+00,9.01506e-04,9.86414e-01,309
53000,1.94142e-05,4.98595e+00,7.48741e+00,8.98679e+00,1.08732e-03,9.86413e-01,314
54000,1.56123e-05,4.80947e+00,8.61617e+00,8.50612e+00,7.93966e-04,9.86414e-01,319
55000,2.11038e-05,5.11200e+00,7.64835e+00,8.87169e+00,1.10968e-03,9.86413e-01,324
56000,1.72067e-05,5.42295e+00,8.02839e+00,9.56748e+00,6.38795e-04,9.86408e-01,329
57000,1.78703e-05,5.10928e+00,7.86546e+00,8.81382e+00,9.01376e-04,9.86411e-01,334
58000,1.65675e-05,4.96059e+00,7.92566e+00,8.62992e+00,1.04163e-03,9.86411e-01,339
59000,1.38134e-05,5.00990e+00,8.02420e+00,8.99381e+00,8.07753e-04,9.86412e-01,343
60000,1.59897e-05,4.96784e+00,7.80706e+00,8.85406e+00,8.53720e-04,9.86413e-01,348
61000,1.50876e-05,5.23867e+00,8.17182e+00,9.73389e+00,9.02483e-04,9.86413e-01,353
62000,2.15158e-05,4.83672e+00,7.57884e+00,8.73958e+00,8.33538e-04,9.86411e-01,358
63000,2.02932e-05,5.12750e+00,7.55444e+00,8.53232e+00,1.04903e-03,9.86411e-01,363
64000,2.09495e-05,4.87281e+00,8.58452e+00,8.77603e+00,9.89639e-04,9.86412e-01,368
65000,1.81414e-05,4.95609e+00,7.91138e+00,9.27958e+00,7.36287e-04,9.86413e-01,373
66000,1.39132e-05,5.14913e+00,8.59125e+00,9.21885e+00,6.47515e-04,9.86412e-01,378
67000,1.74730e-05,4.81179e+00,7.89494e+00,8.98759e+00,6.81894e-04,9.86411e-01,383
68000,1.71127e-05,5.16946e+00,7.32298e+00,8.73710e+00,7.04269e-04,9.86413e-01,388
