step,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.11958e-02,1.98449e-03,596
1000,1.01607e-02,1.79998e-03,596
2000,1.01811e-02,1.83520e-03,596
3000,1.11627e-02,1.96966e-03,596
4000,1.03425e-02,1.81279e-03,596
5000,1.07713e-02,1.89167e-03,597
6000,1.09004e-02,1.90840e-03,597
7000,1.09361e-02,1.95699e-03,597
8000,1.05194e-02,1.84726e-03,597
9000,1.09061e-02,1.93406e-03,597
10000,9.74099e-03,1.74333e-03,597
11000,1.07373e-02,1.88136e-03,597
12000,1.09430e-02,1.91296e-03,597
13000,1.02108e-02,1.80027e-03,597
14000,1.03040e-02,1.81361e-03,597
15000,1.03667e-02,1.85131e-03,597
16000,9.43306e-03,1.68287e-03,597
17000,1.03835e-02,1.84237e-03,597
18000,1.01796e-02,1.81188e-03,597
19000,1.04133e-02,1.85709e-03,597
20000,1.01555e-02,1.78732e-03,597
21000,9.87455e-03,1.76955e-03,597
22000,9.93032e-03,1.75368e-03,597
23000,1.05386e-02,1.89278e-03,597
24000,1.03031e-02,1.84398e-03,597
25000,1.04175e-02,1.85681e-03,597
26000,1.06290e-02,1.87956e-03,598
27000,1.04076e-02,1.87359e-03,598
28000,1.09313e-02,1.92667e-03,598
29000,1.03047e-02,1.83310e-03,598
30000,1.11125e-02,1.92438e-03,598
31000,1.13954e-02,1.98974e-03,598
32000,1.07121e-02,1.86390e-03,598
33000,1.02337e-02,1.81182e-03,598
34000,1.06857e-02,1.89877e-03,598
35000,1.08660e-02,1.90602e-03,598
36000,1.05227e-02,1.87400e-03,598
37000,1.11924e-02,1.96337e-03,598
38000,1.00160e-02,1.77050e-03,598
39000,1.05910e-02,1.89419e-03,598
40000,1.09536e-02,1.92676e-03,598
41000,9.63303e-03,1.72963e-03,598
42000,1.03415e-02,1.81442e-03,598
43000,1.02546e-02,1.81917e-03,598
44000,1.00926e-02,1.81268e-03,598
45000,1.06484e-02,1.87715e-03,598
46000,1.02586e-02,1.81266e-03,598
47000,1.05488e-02,1.87007e-03,598
48000,1.04518e-02,1.83321e-03,599
49000,1.08584e-02,1.90585e-03,599
50000,1.00314e-02,1.78595e-03,599
51000,1.01619e-02,1.78317e-03,599
52000,1.03054e-02,1.81514e-03,599
53000,1.07191e-02,1.89623e-03,599
54000,1.00531e-02,1.79505e-03,599
55000,1.05879e-02,1.87723e-03,599
56000,1.01546e-02,1.79167e-03,599
57000,1.06384e-02,1.86640e-03,599
58000,1.04318e-02,1.82815e-03,599
59000,1.03399e-02,1.80855e-03,599
60000,1.03213e-02,1.82950e-03,599
61000,1.07193e-02,1.90350e-03,599
62000,1.13608e-02,2.01057e-03,599
63000,1.03477e-02,1.82601e-03,599
64000,9.73597e-03,1.76236e-03,599
65000,1.02062e-02,1.84104e-03,599
66000,1.17097e-02,2.03991e-03,599
67000,1.06126e-02,1.89494e-03,599
68000,1.06639e-02,1.87679e-03,599
69000,9.98913e-03,1.77553e-03,599
70000,9.82642e-03,1.73258e-03,600
71000,1.04555e-02,1.85500e-03,600
72000,1.02144e-02,1.81078e-03,600
73000,1.07440e-02,1.91228e-03,600
74000,1.01624e-02,1.80423e-03,600
75000,1.11360e-02,1.94280e-03,600
76000,1.01202e-02,1.78595e-03,600
77000,1.02891e-02,1.82261e-03,600
78000,1.05607e-02,1.83029e-03,600
79000,1.06810e-02,1.86246e-03,600
80000,9.96949e-03,1.76120e-03,600
81000,9.94825e-03,1.78083e-03,600
82000,1.05509e-02,1.89045e-03,600
83000,1.08241e-02,1.88516e-03,600
84000,1.00924e-02,1.79004e-03,600
85000,1.06273e-02,1.86629e-03,600
86000,1.08639e-02,1.92626e-03,600
87000,1.05566e-02,1.85932e-03,600
88000,1.05660e-02,1.82966e-03,600
89000,9.49426e-03,1.66551e-03,600
90000,1.02885e-02,1.81846e-03,600
91000,1.06500e-02,1.87330e-03,600
92000,9.40499e-03,1.70876e-03,600
93000,1.01208e-02,1.79868e-03,601
94000,1.06349e-02,1.88310e-03,601
95000,9.57527e-03,1.73179e-03,601
96000,1.01024e-02,1.78485e-03,601
97000,9.78798e-03,1.73197e-03,601
98000,9.63564e-03,1.70302e-03,601
99000,1.02876e-02,1.79369e-03,601
