step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,9.35496e-01,1.92756e+06,1.93634e+06,1.92756e+06,1.18645e-01,4.41072e-01,30
1000,1.05317e-02,6.04375e+00,7.76197e+00,6.43075e+00,1.07183e+00,9.86656e-01,42
2000,1.32257e-02,5.20515e+00,7.32880e+00,3.06332e+01,3.53644e-01,9.86556e-01,46
3000,1.18379e-02,4.73765e+00,7.70765e+00,4.08219e+01,1.78898e-01,9.86562e-01,51
4000,1.77126e-02,5.07688e+00,7.74556e+00,3.64994e+01,1.34490e-01,9.86392e-01,55
5000,7.24191e-03,5.15320e+00,8.54955e+00,1.48895e+01,1.15235e-01,9.86535e-01,59
6000,4.60094e-03,4.88232e+00,8.41976e+00,6.95415e+00,1.08641e-01,9.86329e-01,64
7000,4.42603e-03,4.42911e+00,7.16469e+00,9.22772e+00,9.23371e-02,9.86364e-01,68
8000,3.57482e-03,4.42677e+00,8.95592e+00,3.68921e+01,8.89494e-02,9.86403e-01,72
9000,3.26993e-03,4.35634e+00,7.48327e+00,4.60972e+01,5.77604e-02,9.86420e-01,77
10000,3.29320e-03,4.31189e+00,7.00300e+00,3.61581e+01,5.10848e-02,9.86379e-01,81
11000,3.05332e-03,4.76856e+00,8.67066e+00,9.86648e+00,3.69222e-02,9.86400e-01,86
12000,3.48660e-03,4.52672e+00,8.43015e+00,8.05908e+00,3.34179e-02,9.86402e-01,90
13000,3.37444e-03,4.92538e+00,8.26391e+00,1.08512e+01,3.30488e-02,9.86414e-01,94
14000,3.32187e-03,4.98457e+00,8.16833e+00,1.24809e+01,2.54448e-02,9.86431e-01,99
15000,3.65252e-03,4.63678e+00,7.96600e+00,1.24618e+01,2.39187e-02,9.86424e-01,103
16000,3.50045e-03,4.78296e+00,8.40925e+00,1.32866e+01,2.33618e-02,9.86420e-01,107
17000,3.69638e-03,4.62944e+00,7.85312e+00,1.32507e+01,2.08108e-02,9.86418e-01,112
18000,3.75890e-03,4.55138e+00,8.23823e+00,1.41476e+01,1.69436e-02,9.86410e-01,116
19000,3.42144e-03,4.64206e+00,7.83897e+00,1.47139e+01,1.72719e-02,9.86420e-01,120
20000,3.24618e-03,4.76229e+00,8.07769e+00,1.54494e+01,1.60494e-02,9.86395e-01,125
21000,3.71423e-03,4.53981e+00,7.42651e+00,1.56040e+01,1.70287e-02,9.86412e-01,129
