step,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.67285e-02,2.45875e-03,499
1000,1.59007e-02,2.17438e-03,499
2000,1.58583e-02,2.19597e-03,499
3000,1.67183e-02,2.45116e-03,499
4000,1.60629e-02,2.22171e-03,499
5000,1.64005e-02,2.36251e-03,499
6000,1.65153e-02,2.38550e-03,499
7000,1.65060e-02,2.39222e-03,499
8000,1.61757e-02,2.25666e-03,499
9000,1.65130e-02,2.42666e-03,499
10000,1.55359e-02,2.07948e-03,499
11000,1.63747e-02,2.35979e-03,499
12000,1.66014e-02,2.41661e-03,499
13000,1.59507e-02,2.20449e-03,499
14000,1.60385e-02,2.24349e-03,499
15000,1.60558e-02,2.25203e-03,499
16000,1.53194e-02,2.04959e-03,499
17000,1.60612e-02,2.26036e-03,499
18000,1.59095e-02,2.21956e-03,499
19000,1.60934e-02,2.28629e-03,499
20000,1.58822e-02,2.15740e-03,499
21000,1.56694e-02,2.17965e-03,499
22000,1.57220e-02,2.20855e-03,499
23000,1.61717e-02,2.26208e-03,499
24000,1.59733e-02,2.25900e-03,499
25000,1.60811e-02,2.25692e-03,499
26000,1.62711e-02,2.37205e-03,499
27000,1.60836e-02,2.31173e-03,500
28000,1.65289e-02,2.36684e-03,500
29000,1.60110e-02,2.26241e-03,500
30000,1.66888e-02,2.38092e-03,500
31000,1.69575e-02,2.49460e-03,500
32000,1.63793e-02,2.30729e-03,500
33000,1.59628e-02,2.22048e-03,500
34000,1.63223e-02,2.30815e-03,500
35000,1.64841e-02,2.36906e-03,500
36000,1.61954e-02,2.31285e-03,500
37000,1.67955e-02,2.49236e-03,500
38000,1.57691e-02,2.13906e-03,500
39000,1.62172e-02,2.30530e-03,500
40000,1.65651e-02,2.38137e-03,500
41000,1.54291e-02,2.05532e-03,500
42000,1.60733e-02,2.22186e-03,500
43000,1.59775e-02,2.25249e-03,500
44000,1.58017e-02,2.21495e-03,500
45000,1.62862e-02,2.33277e-03,500
46000,1.59792e-02,2.25525e-03,500
47000,1.62060e-02,2.32803e-03,500
48000,1.61384e-02,2.30218e-03,500
49000,1.64930e-02,2.37370e-03,500
50000,1.57624e-02,2.17715e-03,500
51000,1.58878e-02,2.15419e-03,500
52000,1.60410e-02,2.24954e-03,500
53000,1.63385e-02,2.34260e-03,500
54000,1.57904e-02,2.16851e-03,500
55000,1.62404e-02,2.34612e-03,500
56000,1.58660e-02,2.17302e-03,500
57000,1.63147e-02,2.33843e-03,500
58000,1.61385e-02,2.26905e-03,500
59000,1.60892e-02,2.28953e-03,500
60000,1.60161e-02,2.26042e-03,500
61000,1.63132e-02,2.31028e-03,501
62000,1.68782e-02,2.48072e-03,501
63000,1.60748e-02,2.26773e-03,501
64000,1.55026e-02,2.10103e-03,501
65000,1.58923e-02,2.22654e-03,501
66000,1.72219e-02,2.61100e-03,501
67000,1.62462e-02,2.33525e-03,501
68000,1.63012e-02,2.34449e-03,501
69000,1.57467e-02,2.14036e-03,501
70000,1.56578e-02,2.15415e-03,501
71000,1.61251e-02,2.27782e-03,501
72000,1.59503e-02,2.22501e-03,501
73000,1.63531e-02,2.37023e-03,501
74000,1.59014e-02,2.22353e-03,501
75000,1.67403e-02,2.47015e-03,501
76000,1.58576e-02,2.11799e-03,501
77000,1.60042e-02,2.23171e-03,501
78000,1.62811e-02,2.34129e-03,501
79000,1.63295e-02,2.31895e-03,501
80000,1.57607e-02,2.17417e-03,501
81000,1.56925e-02,2.13365e-03,501
82000,1.61530e-02,2.32155e-03,501
83000,1.64810e-02,2.36362e-03,501
84000,1.58494e-02,2.14601e-03,501
85000,1.62762e-02,2.28279e-03,501
86000,1.64587e-02,2.35092e-03,501
87000,1.62449e-02,2.27651e-03,501
88000,1.62731e-02,2.34541e-03,501
89000,1.53982e-02,2.00883e-03,501
90000,1.59972e-02,2.23564e-03,501
91000,1.63014e-02,2.30884e-03,501
92000,1.52385e-02,2.02166e-03,501
93000,1.58609e-02,2.18201e-03,501
94000,1.62751e-02,2.34273e-03,502
95000,1.54099e-02,2.13321e-03,502
96000,1.58673e-02,2.21357e-03,502
97000,1.56079e-02,2.11773e-03,502
98000,1.54826e-02,2.07805e-03,502
99000,1.60451e-02,2.28293e-03,502
