step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.05492e+00,1.92756e+06,1.93634e+06,1.92756e+06,1.18645e-01,4.41072e-01,40
1000,6.83604e-03,1.16750e-01,1.15720e-01,1.01551e-01,2.29043e+02,9.67881e-01,55
2000,6.88790e-03,1.18893e-01,1.19049e-01,9.52468e-02,1.05101e+02,9.87755e-01,61
3000,6.79097e-03,1.18206e-01,1.17954e-01,9.62674e-02,1.05902e+02,9.87394e-01,66
4000,6.67598e-03,1.19482e-01,1.16374e-01,9.81589e-02,5.25997e+01,9.87749e-01,71
5000,6.61694e-03,1.17915e-01,1.18809e-01,9.66323e-02,2.39042e+01,9.88229e-01,76
6000,6.63452e-03,1.21297e-01,1.17590e-01,9.74612e-02,1.92214e+01,9.88518e-01,81
7000,6.80323e-03,1.20153e-01,1.21393e-01,9.60687e-02,1.23017e+01,9.88777e-01,86
8000,6.47468e-03,1.19694e-01,1.14897e-01,9.97035e-02,1.00883e+01,9.88016e-01,91
9000,6.84646e-03,1.19811e-01,1.21112e-01,9.56535e-02,5.41956e+00,9.89977e-01,96
10000,6.87814e-03,1.22410e-01,1.24471e-01,9.54746e-02,4.21504e+00,9.90162e-01,101
11000,6.62646e-03,1.20547e-01,1.16821e-01,9.88048e-02,2.86391e+00,9.89373e-01,106
12000,6.79617e-03,1.24745e-01,1.16109e-01,9.87895e-02,2.30458e+00,9.89718e-01,111
13000,6.60926e-03,1.17270e-01,1.20068e-01,9.85013e-02,2.19079e+00,9.89437e-01,116
14000,6.69456e-03,1.21644e-01,1.18491e-01,9.95849e-02,1.94184e+00,9.89699e-01,121
15000,6.69821e-03,1.17326e-01,1.20393e-01,9.98070e-02,1.46373e+00,9.89711e-01,126
16000,6.61855e-03,1.11007e-01,1.22494e-01,9.94710e-02,1.34727e+00,9.89688e-01,131
17000,6.65953e-03,1.17596e-01,1.23307e-01,1.00790e-01,1.63954e+00,9.89727e-01,137
18000,6.65965e-03,1.19487e-01,1.20027e-01,1.03074e-01,2.95594e+00,9.89694e-01,142
19000,6.72084e-03,1.15792e-01,1.23474e-01,1.06622e-01,1.45199e+00,9.89771e-01,147
20000,6.61447e-03,1.18887e-01,1.19744e-01,1.08538e-01,1.52814e+00,9.89737e-01,152
21000,6.88917e-03,1.21097e-01,1.22148e-01,1.12425e-01,7.00814e-01,9.89931e-01,157
22000,6.89428e-03,1.19738e-01,1.24367e-01,1.16517e-01,3.05526e+00,9.89767e-01,162
