step,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,9.23188e-03,4.85555e-03,1109
1000,9.25597e-03,4.86505e-03,1109
2000,9.27187e-03,4.86991e-03,1109
3000,9.23522e-03,4.85591e-03,1109
4000,9.22270e-03,4.84907e-03,1109
5000,9.22015e-03,4.85097e-03,1109
6000,9.25485e-03,4.86041e-03,1109
7000,9.23433e-03,4.85466e-03,1109
8000,9.25329e-03,4.85857e-03,1109
9000,9.25696e-03,4.86428e-03,1109
10000,9.23191e-03,4.85653e-03,1109
11000,9.24404e-03,4.86346e-03,1109
12000,9.26345e-03,4.86698e-03,1109
13000,9.24230e-03,4.85930e-03,1109
14000,9.24528e-03,4.86042e-03,1109
15000,9.28285e-03,4.87308e-03,1109
16000,9.27089e-03,4.87169e-03,1110
17000,9.25100e-03,4.86013e-03,1110
18000,9.24236e-03,4.85467e-03,1110
19000,9.23021e-03,4.85421e-03,1110
20000,9.23321e-03,4.85561e-03,1110
21000,9.25044e-03,4.86085e-03,1110
22000,9.23813e-03,4.85584e-03,1110
23000,9.23259e-03,4.85381e-03,1110
24000,9.21791e-03,4.84555e-03,1110
25000,9.23619e-03,4.85598e-03,1110
26000,9.25663e-03,4.86086e-03,1110
27000,9.21199e-03,4.85066e-03,1110
28000,9.23677e-03,4.85344e-03,1110
29000,9.23341e-03,4.85412e-03,1110
30000,9.23932e-03,4.85772e-03,1110
31000,9.25144e-03,4.85880e-03,1110
32000,9.25502e-03,4.86262e-03,1110
33000,9.23446e-03,4.85381e-03,1110
34000,9.23168e-03,4.85318e-03,1110
35000,9.26087e-03,4.86512e-03,1110
36000,9.24614e-03,4.85833e-03,1110
37000,9.25202e-03,4.85635e-03,1110
38000,9.24998e-03,4.85974e-03,1111
39000,9.26901e-03,4.86369e-03,1111
40000,9.22563e-03,4.85176e-03,1111
41000,9.25774e-03,4.86233e-03,1111
42000,9.24081e-03,4.85934e-03,1111
43000,9.26310e-03,4.86630e-03,1111
44000,9.24506e-03,4.85880e-03,1111
45000,9.21591e-03,4.84847e-03,1111
46000,9.23225e-03,4.85713e-03,1111
47000,9.26346e-03,4.86504e-03,1111
48000,9.23966e-03,4.85517e-03,1111
49000,9.24786e-03,4.86470e-03,1111
50000,9.24816e-03,4.85544e-03,1111
51000,9.24968e-03,4.85852e-03,1111
52000,9.27148e-03,4.86551e-03,1111
53000,9.25641e-03,4.86375e-03,1111
54000,9.26528e-03,4.86308e-03,1111
55000,9.25570e-03,4.85795e-03,1111
56000,9.25582e-03,4.86424e-03,1111
57000,9.24766e-03,4.86489e-03,1111
58000,9.23421e-03,4.84764e-03,1111
59000,9.24990e-03,4.86061e-03,1111
60000,9.24445e-03,4.85806e-03,1112
61000,9.26234e-03,4.86168e-03,1112
62000,9.22705e-03,4.84935e-03,1112
63000,9.25656e-03,4.86573e-03,1112
64000,9.26106e-03,4.86274e-03,1112
65000,9.24292e-03,4.85903e-03,1112
66000,9.23580e-03,4.85681e-03,1112
67000,9.25354e-03,4.86208e-03,1112
68000,9.24429e-03,4.85691e-03,1112
69000,9.24758e-03,4.86215e-03,1112
70000,9.23590e-03,4.85813e-03,1112
71000,9.26437e-03,4.86444e-03,1112
72000,9.25385e-03,4.85887e-03,1112
73000,9.26811e-03,4.87235e-03,1112
74000,9.24886e-03,4.86305e-03,1112
75000,9.24552e-03,4.85634e-03,1112
76000,9.24750e-03,4.85656e-03,1112
77000,9.24988e-03,4.86279e-03,1112
78000,9.25147e-03,4.86013e-03,1112
79000,9.23647e-03,4.85623e-03,1112
80000,9.26394e-03,4.86394e-03,1112
81000,9.23988e-03,4.85921e-03,1112
82000,9.25938e-03,4.86373e-03,1113
83000,9.26014e-03,4.86377e-03,1113
84000,9.23334e-03,4.85600e-03,1113
85000,9.25303e-03,4.86081e-03,1113
86000,9.25893e-03,4.86509e-03,1113
87000,9.24802e-03,4.85966e-03,1113
88000,9.26907e-03,4.86833e-03,1113
89000,9.24780e-03,4.85866e-03,1113
90000,9.24405e-03,4.85479e-03,1113
91000,9.22640e-03,4.85422e-03,1113
92000,9.23601e-03,4.85699e-03,1113
93000,9.23162e-03,4.85682e-03,1113
