step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.03259e+00,1.92756e+06,1.93634e+06,1.92756e+06,1.18645e-01,4.41072e-01,40
1000,1.03990e-03,6.08987e+00,7.86548e+00,3.51340e+00,1.06367e+00,9.84911e-01,55
2000,3.45290e-04,5.09562e+00,7.94561e+00,2.76143e+00,2.83939e-01,9.86353e-01,60
3000,1.91189e-04,4.71363e+00,8.23288e+00,3.39659e+00,2.10599e-01,9.86373e-01,65
4000,1.27041e-04,5.27021e+00,8.44691e+00,4.89026e+00,1.48393e-01,9.86511e-01,70
5000,9.32469e-05,5.36495e+00,8.82987e+00,5.97343e+00,1.30975e-01,9.86401e-01,76
6000,8.61541e-05,5.17062e+00,8.64019e+00,7.16389e+00,1.18092e-01,9.86368e-01,81
7000,9.60711e-05,4.95328e+00,7.06056e+00,9.11959e+00,8.25725e-02,9.86371e-01,86
8000,6.87516e-05,4.95176e+00,8.88981e+00,9.09797e+00,5.46285e-02,9.86384e-01,91
9000,5.53957e-05,4.79997e+00,7.50509e+00,1.48875e+01,5.62088e-02,9.86391e-01,96
10000,1.13645e-04,4.73070e+00,7.05729e+00,1.23964e+01,4.17374e-02,9.86414e-01,101
11000,1.05855e-04,5.23506e+00,8.60454e+00,1.30800e+01,3.44307e-02,9.86407e-01,107
12000,1.14033e-04,4.98559e+00,8.43117e+00,1.47499e+01,2.83335e-02,9.86418e-01,112
13000,1.03495e-04,5.37697e+00,8.27269e+00,1.11523e+01,2.48694e-02,9.86452e-01,117
14000,3.67605e-05,5.41494e+00,8.18868e+00,1.24352e+01,2.10281e-02,9.86448e-01,122
15000,9.00050e-05,5.07879e+00,7.98063e+00,1.06569e+01,1.63629e-02,9.86412e-01,127
16000,9.09251e-05,5.22644e+00,8.43226e+00,1.15970e+01,1.58872e-02,9.86433e-01,132
17000,5.83468e-05,5.07184e+00,7.87145e+00,1.06949e+01,1.21385e-02,9.86424e-01,137
18000,1.03292e-04,5.00357e+00,8.27101e+00,1.00047e+01,1.22765e-02,9.86447e-01,143
19000,8.42663e-05,5.07815e+00,7.85751e+00,1.06682e+01,7.55522e-03,9.86377e-01,148
20000,1.13788e-04,5.21437e+00,8.12359e+00,1.02158e+01,8.44920e-03,9.86436e-01,153
21000,5.74936e-05,4.96386e+00,7.46252e+00,9.65259e+00,8.27035e-03,9.86416e-01,158
22000,6.47275e-05,4.72168e+00,7.90566e+00,1.00218e+01,6.79223e-03,9.86428e-01,163
23000,8.35352e-05,5.01012e+00,8.29506e+00,9.65591e+00,3.78138e-03,9.86359e-01,168
24000,4.09131e-05,5.12667e+00,8.43218e+00,8.81431e+00,6.12890e-03,9.86519e-01,173
25000,7.52685e-05,4.97551e+00,8.97119e+00,9.25426e+00,3.68978e-03,9.86397e-01,178
26000,8.09867e-05,5.34109e+00,7.52303e+00,9.01264e+00,3.77614e-03,9.86441e-01,184
27000,1.14953e-04,5.32963e+00,7.93327e+00,9.19986e+00,3.56475e-03,9.86398e-01,189
28000,1.08958e-04,5.16697e+00,8.17677e+00,9.22797e+00,3.54228e-03,9.86383e-01,194
29000,3.63095e-05,4.90468e+00,7.77285e+00,9.10967e+00,2.11366e-03,9.86411e-01,199
30000,3.42099e-05,5.11722e+00,7.99077e+00,9.76596e+00,3.23148e-03,9.86414e-01,204
31000,2.98502e-05,5.17326e+00,8.10258e+00,8.98933e+00,2.62230e-03,9.86410e-01,209
32000,3.26977e-05,5.10428e+00,9.03401e+00,9.51542e+00,2.52204e-03,9.86398e-01,214
33000,2.52307e-05,5.59843e+00,8.10318e+00,9.61258e+00,1.19925e-03,9.86419e-01,220
34000,3.26894e-05,5.21864e+00,8.55072e+00,9.99499e+00,1.74486e-03,9.86419e-01,225
35000,3.38354e-05,5.45036e+00,7.94194e+00,9.35491e+00,2.33145e-03,9.86407e-01,230
36000,2.99209e-05,5.11447e+00,8.03362e+00,1.01951e+01,1.73508e-03,9.86409e-01,235
37000,2.86467e-05,5.10223e+00,8.01843e+00,9.90485e+00,1.66962e-03,9.86422e-01,240
38000,5.01633e-05,5.03704e+00,7.47100e+00,8.92333e+00,9.70169e-04,9.86407e-01,245
39000,2.71657e-05,5.37586e+00,8.59457e+00,9.12508e+00,6.53153e-04,9.86411e-01,250
40000,4.11355e-05,5.05911e+00,8.07649e+00,9.17588e+00,1.31274e-03,9.86407e-01,255
41000,3.45195e-05,5.50614e+00,8.18672e+00,9.47324e+00,1.84398e-03,9.86417e-01,261
