step,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.08766e-02,1.92816e-03,1121
1000,1.03711e-02,1.85629e-03,1121
2000,9.97604e-03,1.79087e-03,1121
3000,1.08533e-02,1.89890e-03,1121
4000,1.09317e-02,1.91670e-03,1121
5000,1.13722e-02,1.98291e-03,1121
6000,1.00800e-02,1.79174e-03,1121
7000,1.08070e-02,1.89624e-03,1121
8000,1.04341e-02,1.85942e-03,1121
9000,1.06194e-02,1.90707e-03,1121
10000,1.06086e-02,1.86778e-03,1121
11000,1.03566e-02,1.83401e-03,1122
12000,9.66993e-03,1.72641e-03,1122
13000,1.00070e-02,1.76563e-03,1122
14000,1.08643e-02,1.93440e-03,1122
15000,9.98638e-03,1.79370e-03,1122
16000,1.01679e-02,1.81414e-03,1122
17000,9.99325e-03,1.76580e-03,1122
18000,1.01539e-02,1.80267e-03,1122
19000,1.08927e-02,1.92509e-03,1122
20000,1.04329e-02,1.84733e-03,1122
21000,1.02688e-02,1.83725e-03,1122
22000,1.04720e-02,1.83725e-03,1122
23000,1.05199e-02,1.83459e-03,1122
24000,1.02903e-02,1.78313e-03,1122
25000,1.03945e-02,1.82200e-03,1122
26000,1.02262e-02,1.81124e-03,1122
27000,1.07789e-02,1.87098e-03,1122
28000,1.09927e-02,1.93206e-03,1122
29000,1.04757e-02,1.83015e-03,1122
30000,1.03437e-02,1.80672e-03,1122
31000,1.02644e-02,1.81874e-03,1122
32000,1.02268e-02,1.81480e-03,1122
33000,1.04827e-02,1.83498e-03,1122
34000,1.04010e-02,1.82052e-03,1123
35000,1.05804e-02,1.90356e-03,1123
36000,1.00293e-02,1.76289e-03,1123
37000,9.44229e-03,1.67741e-03,1123
38000,9.91850e-03,1.77198e-03,1123
39000,9.90854e-03,1.78016e-03,1123
40000,1.06704e-02,1.85632e-03,1123
41000,1.00988e-02,1.79080e-03,1123
42000,1.07598e-02,1.91538e-03,1123
43000,1.02910e-02,1.83146e-03,1123
44000,1.04004e-02,1.82905e-03,1123
45000,1.05076e-02,1.79907e-03,1123
46000,1.04505e-02,1.85017e-03,1123
47000,9.81247e-03,1.75813e-03,1123
48000,1.08651e-02,1.92961e-03,1123
49000,1.02800e-02,1.82692e-03,1123
50000,1.02888e-02,1.81300e-03,1123
51000,1.00897e-02,1.78548e-03,1123
52000,9.19295e-03,1.66236e-03,1123
53000,1.02527e-02,1.81294e-03,1123
54000,1.02846e-02,1.84691e-03,1123
55000,9.81406e-03,1.74433e-03,1123
56000,1.06474e-02,1.88875e-03,1123
57000,1.05773e-02,1.85469e-03,1124
58000,1.07210e-02,1.87279e-03,1124
59000,9.79900e-03,1.75013e-03,1124
60000,1.05270e-02,1.86473e-03,1124
61000,1.00958e-02,1.79955e-03,1124
62000,1.06201e-02,1.86398e-03,1124
63000,1.00578e-02,1.79751e-03,1124
64000,1.01529e-02,1.80064e-03,1124
65000,1.04931e-02,1.85798e-03,1124
66000,1.01767e-02,1.77846e-03,1124
67000,1.01306e-02,1.78652e-03,1124
68000,1.06393e-02,1.90253e-03,1124
69000,1.02843e-02,1.80774e-03,1124
70000,1.12400e-02,1.98067e-03,1124
71000,1.05137e-02,1.88428e-03,1124
72000,1.00662e-02,1.79521e-03,1124
73000,9.68374e-03,1.75203e-03,1124
74000,1.09168e-02,1.93494e-03,1124
75000,1.03621e-02,1.83751e-03,1124
76000,1.03513e-02,1.82589e-03,1124
77000,1.03879e-02,1.84854e-03,1124
78000,1.05586e-02,1.88116e-03,1124
79000,1.03256e-02,1.79402e-03,1124
80000,9.75935e-03,1.73649e-03,1125
81000,1.08609e-02,1.93480e-03,1125
82000,1.05236e-02,1.89552e-03,1125
