step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.10093e+00,1.92756e+06,1.93634e+06,1.92756e+06,1.82080e-01,4.20154e-01,41
1000,1.39436e-02,3.88571e-02,3.63080e-02,3.88571e-02,1.72718e+01,9.83407e-01,56
2000,1.41092e-02,3.80040e-02,3.56988e-02,3.80040e-02,1.75711e+01,9.84280e-01,61
3000,1.39468e-02,3.83917e-02,3.56618e-02,3.83917e-02,1.56099e+01,9.84090e-01,66
4000,1.39572e-02,3.93080e-02,3.57561e-02,3.93080e-02,1.68568e+01,9.83871e-01,71
5000,1.41042e-02,3.87471e-02,3.62693e-02,3.87471e-02,1.18249e+01,9.85250e-01,76
6000,1.40859e-02,3.90384e-02,3.60323e-02,3.90384e-02,6.24915e+00,9.82627e-01,81
7000,1.39960e-02,3.83038e-02,3.56300e-02,3.83038e-02,1.17468e+01,9.86785e-01,86
8000,1.41467e-02,3.99688e-02,3.64039e-02,3.99688e-02,2.16588e+01,9.79958e-01,91
9000,1.39874e-02,3.77962e-02,3.56732e-02,3.77962e-02,6.46151e+01,9.80588e-01,96
10000,1.41207e-02,3.76683e-02,3.56499e-02,3.76683e-02,5.25383e+01,9.81430e-01,102
11000,1.40588e-02,3.95698e-02,3.59610e-02,3.95698e-02,2.39982e+01,9.86845e-01,107
12000,1.40194e-02,3.89537e-02,3.50601e-02,3.89537e-02,5.65516e+00,9.83507e-01,112
13000,1.41038e-02,3.91011e-02,3.61943e-02,3.91011e-02,1.74328e+01,9.84690e-01,117
14000,1.40232e-02,3.87812e-02,3.57717e-02,3.87812e-02,2.78855e+01,9.83956e-01,122
15000,1.40262e-02,3.88783e-02,3.61497e-02,3.88783e-02,6.62317e+00,9.87421e-01,127
16000,1.39666e-02,3.89382e-02,3.69234e-02,3.89382e-02,5.37762e+00,9.88631e-01,132
17000,1.41407e-02,3.82542e-02,3.66572e-02,3.82542e-02,5.34308e+00,9.87651e-01,137
18000,1.41132e-02,3.84328e-02,3.60688e-02,3.84328e-02,9.44094e+00,9.89211e-01,142
19000,1.41042e-02,3.84519e-02,3.61481e-02,3.84519e-02,1.20506e+01,9.90037e-01,147
20000,1.40612e-02,3.93377e-02,3.63023e-02,3.93377e-02,2.48961e+00,9.87677e-01,152
21000,1.39939e-02,3.80052e-02,3.53649e-02,3.80052e-02,3.35584e+00,9.88742e-01,157
22000,1.40892e-02,3.72496e-02,3.57435e-02,3.72496e-02,6.24214e+00,9.88142e-01,162
23000,1.41325e-02,3.88194e-02,3.55564e-02,3.88194e-02,2.98849e+00,9.89307e-01,167
24000,1.41402e-02,3.88321e-02,3.55372e-02,3.88321e-02,4.72722e+00,9.88319e-01,172
25000,1.40932e-02,3.85974e-02,3.53324e-02,3.85974e-02,4.29153e+00,9.88248e-01,178
26000,1.40432e-02,3.86770e-02,3.59906e-02,3.86770e-02,6.63685e+00,9.87243e-01,183
27000,1.40249e-02,3.84046e-02,3.55287e-02,3.84046e-02,8.80447e+00,9.88825e-01,188
28000,1.40228e-02,3.85776e-02,3.56425e-02,3.85776e-02,5.36229e+00,9.88958e-01,193
29000,1.40595e-02,3.89913e-02,3.54943e-02,3.89913e-02,1.20336e+00,9.89500e-01,198
30000,1.40323e-02,3.86616e-02,3.62927e-02,3.86616e-02,2.08528e+00,9.89419e-01,203
31000,1.40177e-02,3.90526e-02,3.62538e-02,3.90526e-02,1.08936e+00,9.89573e-01,208
32000,1.40109e-02,3.91861e-02,3.64624e-02,3.91861e-02,1.08649e+00,9.89537e-01,213
33000,1.39644e-02,3.97037e-02,3.66172e-02,3.97037e-02,6.32008e-01,9.89635e-01,218
34000,1.39872e-02,3.95878e-02,3.58465e-02,3.95878e-02,9.57757e-01,9.89604e-01,223
35000,1.41833e-02,3.83365e-02,3.60471e-02,3.83365e-02,1.02311e+00,9.89587e-01,228
36000,1.39587e-02,3.84661e-02,3.61024e-02,3.84661e-02,5.34381e-01,9.89209e-01,233
37000,1.39603e-02,3.85263e-02,3.59726e-02,3.85263e-02,2.61878e+00,9.89744e-01,238
38000,1.40556e-02,3.81751e-02,3.54344e-02,3.81751e-02,2.28394e-01,9.89711e-01,243
39000,1.40601e-02,3.98781e-02,3.63466e-02,3.98781e-02,1.03726e+00,9.89557e-01,248
40000,1.40948e-02,3.89030e-02,3.64343e-02,3.89030e-02,3.04100e-01,9.89833e-01,253
41000,1.39556e-02,3.95754e-02,3.60543e-02,3.95754e-02,5.29103e-01,9.89625e-01,258
42000,1.40125e-02,3.89163e-02,3.65186e-02,3.89163e-02,1.07663e+00,9.89698e-01,263
43000,1.40112e-02,3.91553e-02,3.60036e-02,3.91553e-02,3.03292e-01,9.89848e-01,269
44000,1.40348e-02,3.85202e-02,3.61419e-02,3.85202e-02,2.21751e-01,9.89883e-01,274
45000,1.39236e-02,3.86930e-02,3.58397e-02,3.86930e-02,2.38124e-01,9.89871e-01,279
46000,1.40212e-02,3.91093e-02,3.63206e-02,3.91093e-02,2.06022e-01,9.89886e-01,284
47000,1.40076e-02,3.82189e-02,3.58633e-02,3.82189e-02,5.10793e-01,9.89783e-01,289
48000,1.41178e-02,3.92121e-02,3.58518e-02,3.92121e-02,3.71267e-01,9.89756e-01,294
49000,1.39735e-02,3.89217e-02,3.63217e-02,3.89217e-02,7.29609e-01,9.89834e-01,299
50000,1.41376e-02,3.87476e-02,3.59388e-02,3.87476e-02,4.02924e-01,9.89737e-01,304
51000,1.39846e-02,3.89963e-02,3.60804e-02,3.89963e-02,2.78140e-01,9.89813e-01,309
52000,1.39858e-02,3.86998e-02,3.63105e-02,3.86998e-02,3.01079e-01,9.89870e-01,314
53000,1.41082e-02,3.83801e-02,3.57655e-02,3.83801e-02,3.19743e-01,9.89864e-01,319
54000,1.40179e-02,3.96067e-02,3.64270e-02,3.96067e-02,5.68061e-01,9.89856e-01,324
55000,1.40031e-02,3.91587e-02,3.57754e-02,3.91587e-02,6.96525e-01,9.89814e-01,329
56000,1.40645e-02,3.94398e-02,3.66092e-02,3.94398e-02,3.16395e-01,9.89851e-01,334
57000,1.41053e-02,3.89780e-02,3.58641e-02,3.89780e-02,4.97324e-01,9.89814e-01,339
58000,1.40093e-02,3.86215e-02,3.48291e-02,3.86215e-02,7.71786e-02,9.89918e-01,344
59000,1.40721e-02,3.93111e-02,3.57053e-02,3.93111e-02,7.74767e-02,9.89911e-01,349
60000,1.40705e-02,3.90095e-02,3.57265e-02,3.90095e-02,9.82232e-02,9.89933e-01,355
61000,1.39903e-02,3.87182e-02,3.63075e-02,3.87182e-02,5.39907e-02,9.89934e-01,360
62000,1.41101e-02,3.85567e-02,3.53311e-02,3.85567e-02,8.86301e-02,9.89917e-01,365
63000,1.41400e-02,3.84667e-02,3.60818e-02,3.84667e-02,1.11432e-01,9.89927e-01,370
64000,1.39758e-02,3.91538e-02,3.61361e-02,3.91538e-02,1.04810e-01,9.89916e-01,375
65000,1.40403e-02,3.82971e-02,3.56404e-02,3.82971e-02,1.30290e-01,9.89935e-01,380
66000,1.39784e-02,3.93532e-02,3.58295e-02,3.93532e-02,6.65254e-02,9.89927e-01,385
67000,1.39680e-02,3.86742e-02,3.57262e-02,3.86742e-02,7.04896e-02,9.89941e-01,390
68000,1.39821e-02,3.88932e-02,3.55494e-02,3.88932e-02,1.00630e-01,9.89941e-01,395
69000,1.39810e-02,3.80937e-02,3.62549e-02,3.80937e-02,9.46363e-02,9.89933e-01,400
70000,1.40057e-02,3.94343e-02,3.63520e-02,3.94343e-02,1.02355e-01,9.89918e-01,405
71000,1.40429e-02,3.84585e-02,3.55696e-02,3.84585e-02,6.57899e-02,9.89947e-01,410
72000,1.39010e-02,3.90766e-02,3.63886e-02,3.90766e-02,5.40475e-02,9.89941e-01,415
73000,1.39996e-02,3.91354e-02,3.61800e-02,3.91354e-02,5.61043e-02,9.89946e-01,420
74000,1.39047e-02,3.97643e-02,3.56512e-02,3.97643e-02,5.86025e-02,9.89938e-01,425
75000,1.40111e-02,3.91362e-02,3.61561e-02,3.91362e-02,5.50158e-02,9.89949e-01,430
76000,1.40523e-02,3.86991e-02,3.61379e-02,3.86991e-02,4.91269e-02,9.89952e-01,435
77000,1.41484e-02,3.99128e-02,3.61086e-02,3.99128e-02,5.00425e-02,9.89965e-01,440
78000,1.40908e-02,3.90070e-02,3.57696e-02,3.90070e-02,4.45068e-02,9.89951e-01,445
79000,1.40325e-02,3.90208e-02,3.68429e-02,3.90208e-02,4.80324e-02,9.89956e-01,450
80000,1.40265e-02,3.85383e-02,3.63391e-02,3.85383e-02,4.89047e-02,9.89949e-01,455
81000,1.40170e-02,3.95593e-02,3.60160e-02,3.95593e-02,4.53579e-02,9.89955e-01,460
