step,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.54974e-02,6.60790e-03,605
1000,1.55439e-02,6.62149e-03,605
2000,1.55404e-02,6.62117e-03,606
3000,1.55120e-02,6.61263e-03,606
4000,1.55343e-02,6.61905e-03,606
5000,1.55077e-02,6.61130e-03,606
6000,1.54908e-02,6.60723e-03,606
7000,1.55187e-02,6.61382e-03,606
8000,1.55154e-02,6.61324e-03,606
9000,1.55449e-02,6.62121e-03,606
10000,1.55489e-02,6.62284e-03,606
11000,1.55196e-02,6.61518e-03,606
12000,1.55185e-02,6.61360e-03,606
13000,1.55375e-02,6.61931e-03,606
14000,1.55395e-02,6.61978e-03,606
15000,1.55351e-02,6.61828e-03,606
16000,1.55598e-02,6.62559e-03,606
17000,1.55184e-02,6.61395e-03,606
18000,1.55606e-02,6.62589e-03,606
19000,1.55234e-02,6.61469e-03,606
20000,1.55195e-02,6.61382e-03,606
21000,1.55700e-02,6.62875e-03,606
22000,1.55615e-02,6.62581e-03,606
23000,1.55438e-02,6.62054e-03,606
24000,1.55450e-02,6.62199e-03,607
25000,1.55360e-02,6.61898e-03,607
26000,1.55260e-02,6.61650e-03,607
27000,1.55791e-02,6.63032e-03,607
28000,1.55030e-02,6.61021e-03,607
29000,1.55405e-02,6.61979e-03,607
30000,1.54905e-02,6.60705e-03,607
31000,1.54786e-02,6.60359e-03,607
32000,1.55113e-02,6.61264e-03,607
33000,1.55356e-02,6.61883e-03,607
34000,1.55185e-02,6.61434e-03,607
35000,1.55229e-02,6.61578e-03,607
36000,1.55455e-02,6.62184e-03,607
37000,1.55260e-02,6.61645e-03,607
38000,1.55414e-02,6.62082e-03,607
39000,1.55508e-02,6.62239e-03,607
40000,1.55067e-02,6.61126e-03,607
41000,1.55738e-02,6.62937e-03,607
42000,1.55354e-02,6.61809e-03,607
43000,1.55450e-02,6.62220e-03,607
44000,1.55435e-02,6.62048e-03,607
45000,1.55157e-02,6.61397e-03,607
46000,1.55407e-02,6.62006e-03,608
47000,1.55320e-02,6.61759e-03,608
48000,1.55195e-02,6.61341e-03,608
49000,1.55038e-02,6.61095e-03,608
50000,1.55523e-02,6.62369e-03,608
51000,1.55286e-02,6.61717e-03,608
52000,1.55286e-02,6.61648e-03,608
53000,1.55277e-02,6.61602e-03,608
54000,1.55388e-02,6.61926e-03,608
55000,1.55454e-02,6.62218e-03,608
56000,1.55160e-02,6.61302e-03,608
57000,1.55151e-02,6.61265e-03,608
58000,1.55311e-02,6.61822e-03,608
59000,1.55502e-02,6.62319e-03,608
60000,1.55240e-02,6.61553e-03,608
61000,1.55269e-02,6.61779e-03,608
62000,1.54857e-02,6.60395e-03,608
63000,1.55207e-02,6.61412e-03,608
64000,1.55659e-02,6.62786e-03,608
65000,1.55628e-02,6.62594e-03,608
66000,1.54785e-02,6.60312e-03,608
67000,1.55483e-02,6.62233e-03,608
68000,1.55202e-02,6.61501e-03,608
69000,1.55395e-02,6.61975e-03,609
70000,1.55679e-02,6.62756e-03,609
71000,1.55144e-02,6.61268e-03,609
72000,1.55168e-02,6.61308e-03,609
73000,1.55305e-02,6.61756e-03,609
74000,1.55283e-02,6.61712e-03,609
75000,1.55093e-02,6.61135e-03,609
76000,1.55286e-02,6.61683e-03,609
77000,1.55385e-02,6.61911e-03,609
78000,1.55198e-02,6.61458e-03,609
79000,1.55001e-02,6.61015e-03,609
80000,1.55552e-02,6.62436e-03,609
81000,1.55449e-02,6.62182e-03,609
82000,1.55335e-02,6.61791e-03,609
83000,1.54983e-02,6.60852e-03,609
84000,1.55318e-02,6.61804e-03,609
85000,1.54984e-02,6.60874e-03,609
86000,1.55159e-02,6.61279e-03,609
87000,1.55209e-02,6.61448e-03,609
88000,1.55274e-02,6.61624e-03,609
89000,1.55431e-02,6.62141e-03,609
90000,1.55344e-02,6.61898e-03,609
91000,1.54934e-02,6.60757e-03,610
92000,1.55709e-02,6.62875e-03,610
93000,1.55328e-02,6.61797e-03,610
94000,1.55373e-02,6.61892e-03,610
95000,1.55725e-02,6.62825e-03,610
96000,1.55393e-02,6.61934e-03,610
97000,1.55557e-02,6.62403e-03,610
98000,1.55577e-02,6.62374e-03,610
99000,1.55394e-02,6.61939e-03,610
