step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.08079e+00,1.92756e+06,1.93634e+06,1.92756e+06,1.82080e-01,4.20154e-01,40
1000,7.97910e-04,5.11935e+00,8.27021e+00,2.29359e+00,1.03673e+00,9.83906e-01,55
2000,3.18332e-04,5.21495e+00,8.18993e+00,2.50061e+00,3.55902e-01,9.86225e-01,60
3000,1.79803e-04,4.81360e+00,8.41742e+00,2.93386e+00,3.33584e-01,9.86378e-01,65
4000,1.27073e-04,5.30500e+00,8.45301e+00,4.20585e+00,2.61723e-01,9.86422e-01,70
5000,8.04141e-05,5.34391e+00,8.80870e+00,5.29205e+00,2.51434e-01,9.86431e-01,75
6000,7.47604e-05,5.16978e+00,8.56375e+00,6.61454e+00,2.02163e-01,9.86417e-01,81
7000,1.17231e-04,4.94925e+00,7.09901e+00,8.50607e+00,1.83944e-01,9.86387e-01,86
8000,8.96100e-05,4.95186e+00,8.90964e+00,8.60457e+00,1.18450e-01,9.86422e-01,91
9000,6.89025e-05,4.79760e+00,7.49959e+00,1.47995e+01,7.86558e-02,9.86409e-01,96
10000,9.69037e-05,4.72323e+00,7.06877e+00,1.28790e+01,5.68007e-02,9.86378e-01,101
11000,4.50218e-05,5.23362e+00,8.61418e+00,1.36818e+01,3.83175e-02,9.86429e-01,106
12000,1.08826e-04,4.98844e+00,8.44078e+00,1.52707e+01,4.71494e-02,9.86430e-01,111
13000,4.65599e-05,5.36042e+00,8.25823e+00,1.11722e+01,4.59770e-02,9.86407e-01,116
14000,7.74877e-05,5.40537e+00,8.17563e+00,1.22379e+01,3.78842e-02,9.86426e-01,121
15000,4.05447e-05,5.08041e+00,7.99022e+00,1.03923e+01,4.08278e-02,9.86406e-01,127
16000,4.25784e-05,5.22086e+00,8.43129e+00,1.09058e+01,2.49514e-02,9.86416e-01,132
17000,3.99509e-05,5.07268e+00,7.87741e+00,9.66576e+00,3.30503e-02,9.86406e-01,137
18000,4.47461e-05,4.99946e+00,8.27344e+00,9.05829e+00,2.95892e-02,9.86400e-01,142
19000,3.96484e-05,5.09054e+00,7.88347e+00,9.65390e+00,1.90393e-02,9.86428e-01,147
20000,4.21247e-05,5.21705e+00,8.14344e+00,9.54717e+00,2.24056e-02,9.86424e-01,152
21000,4.67253e-05,4.96941e+00,7.48452e+00,9.41295e+00,1.38400e-02,9.86411e-01,157
22000,4.33426e-05,4.72570e+00,7.92498e+00,9.75999e+00,1.70331e-02,9.86414e-01,162
23000,4.03525e-05,5.02572e+00,8.33720e+00,9.89690e+00,1.33409e-02,9.86426e-01,168
24000,3.69826e-05,5.11735e+00,8.44108e+00,8.89011e+00,9.34329e-03,9.86423e-01,173
25000,3.71554e-05,4.98427e+00,8.99879e+00,9.15490e+00,8.24474e-03,9.86412e-01,178
26000,2.95916e-05,5.34130e+00,7.54943e+00,8.71784e+00,7.14006e-03,9.86408e-01,183
27000,3.74720e-05,5.33946e+00,7.96986e+00,9.45271e+00,4.81980e-03,9.86427e-01,188
28000,3.80455e-05,5.17910e+00,8.21370e+00,9.66194e+00,4.49707e-03,9.86419e-01,193
29000,3.47817e-05,4.91216e+00,7.80609e+00,9.27906e+00,4.55370e-03,9.86416e-01,198
30000,2.92458e-05,5.12327e+00,8.01730e+00,9.11454e+00,4.55659e-03,9.86414e-01,203
31000,3.08184e-05,5.17775e+00,8.12782e+00,8.65097e+00,5.10800e-03,9.86414e-01,209
32000,3.23382e-05,5.11134e+00,9.05917e+00,8.82259e+00,4.80593e-03,9.86415e-01,214
33000,3.22910e-05,5.60087e+00,8.12531e+00,9.33238e+00,3.68399e-03,9.86411e-01,219
34000,2.82414e-05,5.22295e+00,8.57270e+00,9.17897e+00,3.44351e-03,9.86419e-01,224
35000,3.20626e-05,5.45423e+00,7.96429e+00,8.76120e+00,3.29707e-03,9.86415e-01,229
36000,3.29216e-05,5.11834e+00,8.05322e+00,9.35494e+00,3.10184e-03,9.86410e-01,234
37000,2.90521e-05,5.10458e+00,8.03617e+00,9.23086e+00,3.17634e-03,9.86413e-01,239
38000,4.51237e-05,5.04103e+00,7.49104e+00,9.16960e+00,3.07849e-03,9.86413e-01,244
