step,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.11952e-02,1.98502e-03,608
1000,1.01599e-02,1.79995e-03,608
2000,1.01810e-02,1.83577e-03,608
3000,1.11621e-02,1.97084e-03,608
4000,1.03419e-02,1.81276e-03,608
5000,1.07712e-02,1.89221e-03,609
6000,1.09004e-02,1.90846e-03,609
7000,1.09351e-02,1.95755e-03,609
8000,1.05188e-02,1.84729e-03,609
9000,1.09060e-02,1.93453e-03,609
10000,9.74100e-03,1.74327e-03,609
11000,1.07365e-02,1.88180e-03,609
12000,1.09424e-02,1.91346e-03,609
13000,1.02112e-02,1.80079e-03,609
14000,1.03035e-02,1.81359e-03,609
15000,1.03668e-02,1.85216e-03,609
16000,9.43295e-03,1.68304e-03,609
17000,1.03829e-02,1.84232e-03,609
18000,1.01788e-02,1.81239e-03,609
19000,1.04126e-02,1.85732e-03,609
20000,1.01548e-02,1.78735e-03,609
21000,9.87411e-03,1.76976e-03,609
22000,9.93028e-03,1.75393e-03,609
23000,1.05375e-02,1.89299e-03,609
24000,1.03027e-02,1.84449e-03,609
25000,1.04166e-02,1.85717e-03,609
26000,1.06280e-02,1.88001e-03,609
27000,1.04071e-02,1.87413e-03,610
28000,1.09307e-02,1.92700e-03,610
29000,1.03039e-02,1.83349e-03,610
30000,1.11114e-02,1.92434e-03,610
31000,1.13945e-02,1.99024e-03,610
32000,1.07116e-02,1.86424e-03,610
33000,1.02330e-02,1.81188e-03,610
34000,1.06850e-02,1.89934e-03,610
35000,1.08652e-02,1.90619e-03,610
36000,1.05220e-02,1.87470e-03,610
37000,1.11916e-02,1.96375e-03,610
38000,1.00153e-02,1.77042e-03,610
39000,1.05894e-02,1.89443e-03,610
40000,1.09532e-02,1.92759e-03,610
41000,9.63283e-03,1.72950e-03,610
42000,1.03410e-02,1.81471e-03,610
43000,1.02541e-02,1.81916e-03,610
44000,1.00920e-02,1.81290e-03,610
45000,1.06476e-02,1.87789e-03,610
46000,1.02586e-02,1.81312e-03,610
47000,1.05483e-02,1.87005e-03,610
48000,1.04512e-02,1.83327e-03,610
49000,1.08584e-02,1.90603e-03,610
50000,1.00310e-02,1.78602e-03,611
51000,1.01615e-02,1.78325e-03,611
52000,1.03050e-02,1.81514e-03,611
53000,1.07183e-02,1.89696e-03,611
54000,1.00526e-02,1.79513e-03,611
55000,1.05874e-02,1.87773e-03,611
56000,1.01543e-02,1.79146e-03,611
57000,1.06381e-02,1.86664e-03,611
58000,1.04311e-02,1.82825e-03,611
59000,1.03395e-02,1.80845e-03,611
60000,1.03210e-02,1.82990e-03,611
61000,1.07185e-02,1.90373e-03,611
62000,1.13601e-02,2.01133e-03,611
63000,1.03472e-02,1.82626e-03,611
64000,9.73586e-03,1.76249e-03,611
65000,1.02058e-02,1.84148e-03,611
66000,1.17090e-02,2.04092e-03,611
67000,1.06120e-02,1.89568e-03,611
68000,1.06632e-02,1.87707e-03,611
69000,9.98899e-03,1.77537e-03,611
70000,9.82581e-03,1.73279e-03,611
71000,1.04550e-02,1.85547e-03,611
72000,1.02140e-02,1.81133e-03,612
73000,1.07432e-02,1.91284e-03,612
74000,1.01622e-02,1.80463e-03,612
75000,1.11356e-02,1.94316e-03,612
76000,1.01195e-02,1.78602e-03,612
77000,1.02885e-02,1.82275e-03,612
78000,1.05601e-02,1.83028e-03,612
79000,1.06805e-02,1.86255e-03,612
80000,9.96904e-03,1.76124e-03,612
81000,9.94773e-03,1.78110e-03,612
82000,1.05506e-02,1.89121e-03,612
83000,1.08234e-02,1.88550e-03,612
84000,1.00921e-02,1.79021e-03,612
85000,1.06269e-02,1.86681e-03,612
86000,1.08639e-02,1.92700e-03,612
87000,1.05563e-02,1.85989e-03,612
88000,1.05656e-02,1.82957e-03,612
89000,9.49425e-03,1.66539e-03,612
90000,1.02877e-02,1.81857e-03,612
91000,1.06499e-02,1.87427e-03,612
92000,9.40445e-03,1.70807e-03,612
93000,1.01205e-02,1.79879e-03,612
94000,1.06342e-02,1.88362e-03,612
95000,9.57483e-03,1.73208e-03,613
96000,1.01014e-02,1.78498e-03,613
97000,9.78777e-03,1.73230e-03,613
98000,9.63485e-03,1.70321e-03,613
99000,1.02868e-02,1.79389e-03,613
