step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.05492e+00,1.92756e+06,1.93634e+06,1.92756e+06,1.18645e-01,4.41072e-01,47
1000,6.74479e-03,1.14831e-01,1.15498e-01,9.71576e-02,8.20205e+01,9.87002e-01,64
2000,6.80242e-03,1.18614e-01,1.23077e-01,9.51498e-02,3.38087e+01,9.87244e-01,69
3000,6.75680e-03,1.18499e-01,1.19920e-01,9.65870e-02,2.62918e+01,9.86138e-01,74
4000,6.67665e-03,1.19069e-01,1.15894e-01,9.87800e-02,7.91417e+00,9.89027e-01,79
5000,6.61848e-03,1.17795e-01,1.18688e-01,9.67436e-02,6.68030e+00,9.88987e-01,85
6000,6.63526e-03,1.21542e-01,1.17169e-01,9.76849e-02,5.55859e+00,9.89095e-01,90
7000,6.80392e-03,1.20239e-01,1.21190e-01,9.63901e-02,4.11070e+00,9.89749e-01,95
8000,6.47524e-03,1.19827e-01,1.14779e-01,9.98311e-02,3.51871e+00,9.89183e-01,100
9000,6.84674e-03,1.20097e-01,1.21112e-01,9.60373e-02,3.95231e+00,9.89868e-01,106
10000,6.87837e-03,1.22554e-01,1.24617e-01,9.63729e-02,3.10355e+00,9.89687e-01,111
11000,6.62665e-03,1.20665e-01,1.16845e-01,9.98620e-02,1.90565e+00,9.89650e-01,116
12000,6.79642e-03,1.24838e-01,1.16214e-01,1.00605e-01,1.99799e+00,9.89716e-01,121
13000,6.60951e-03,1.17389e-01,1.20336e-01,1.00609e-01,2.13528e+00,9.89569e-01,126
14000,6.69462e-03,1.21768e-01,1.18617e-01,1.03172e-01,2.13023e+00,9.89565e-01,132
15000,6.69814e-03,1.17326e-01,1.20487e-01,1.04217e-01,4.25244e+00,9.89731e-01,137
16000,6.61852e-03,1.10825e-01,1.22338e-01,1.03286e-01,2.97372e+00,9.89799e-01,142
17000,6.65956e-03,1.17710e-01,1.23466e-01,1.07623e-01,3.34880e+00,9.89587e-01,147
18000,6.65960e-03,1.19635e-01,1.20113e-01,1.10915e-01,2.99054e+00,9.89663e-01,152
19000,6.72078e-03,1.15709e-01,1.23560e-01,1.14343e-01,6.31989e+00,9.89504e-01,157
20000,6.61446e-03,1.18754e-01,1.19690e-01,1.14372e-01,2.96131e+00,9.89642e-01,163
21000,6.88912e-03,1.20936e-01,1.22047e-01,1.15436e-01,4.85013e+00,9.89646e-01,168
