step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.10093e+00,1.92756e+06,1.93634e+06,1.92756e+06,1.82080e-01,4.20154e-01,40
1000,3.11011e-02,1.14668e-02,8.97865e-03,3.64471e-02,1.45716e-02,2.72477e-01,56
2000,2.50906e-02,1.00786e-02,1.01235e-02,2.70973e-02,1.92548e-02,2.00238e-01,61
3000,1.92825e-02,9.87960e-03,1.12985e-02,2.65989e-02,1.58940e-02,1.60001e-01,66
4000,1.85712e-02,8.33478e-03,9.91723e-03,1.61664e-02,1.11947e-02,5.51286e-02,71
5000,2.06261e-02,4.37197e-03,6.58255e-03,6.33103e-03,1.42759e-02,2.06222e-02,76
6000,1.91632e-02,3.85676e-03,4.55341e-03,4.62710e-03,1.57020e-02,1.58569e-02,81
7000,1.82880e-02,3.68991e-03,3.80498e-03,3.54842e-03,8.23221e-03,9.42781e-03,86
8000,1.77204e-02,3.15137e-03,2.71816e-03,3.29626e-03,9.33104e-03,1.02396e-02,91
9000,1.80341e-02,3.37560e-03,1.87584e-03,2.38387e-03,1.03343e-02,1.26170e-02,96
10000,1.80810e-02,3.82638e-03,1.73562e-03,1.87317e-03,1.14039e-02,9.05313e-03,101
11000,1.64211e-02,3.24546e-03,1.71856e-03,1.82245e-03,8.72388e-03,7.29913e-03,106
12000,1.77492e-02,2.73923e-03,1.52019e-03,1.27603e-03,1.04501e-02,6.15190e-03,111
13000,1.60932e-02,2.74234e-03,1.56659e-03,1.09853e-03,4.48909e-03,8.55787e-03,116
14000,1.71825e-02,3.45982e-03,1.97882e-03,1.59329e-03,2.19699e-02,7.74487e-03,121
15000,1.58819e-02,2.44190e-03,1.22586e-03,6.78025e-04,2.85980e-03,5.91045e-03,126
16000,1.39620e-02,2.35943e-03,1.09445e-03,5.57650e-04,4.51537e-03,5.84751e-03,131
17000,1.70481e-02,2.01232e-03,1.26091e-03,6.18985e-04,2.77681e-03,6.24581e-03,136
18000,1.63607e-02,2.28314e-03,1.12281e-03,7.87062e-04,3.27463e-03,6.40215e-03,141
19000,1.54990e-02,2.12010e-03,1.09728e-03,6.71387e-04,2.37415e-03,4.63081e-03,146
20000,1.45657e-02,2.09452e-03,9.72481e-04,6.82394e-04,2.74440e-03,5.58576e-03,151
21000,1.69788e-02,2.16759e-03,1.05847e-03,6.84524e-04,4.52381e-03,5.50173e-03,156
22000,1.64299e-02,1.71304e-03,1.06237e-03,4.59642e-04,2.83835e-03,4.44287e-03,161
23000,1.55254e-02,2.01547e-03,1.02325e-03,6.27149e-04,4.49940e-03,5.03237e-03,166
