step,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,9.82620e-03,3.46955e-03,597
1000,8.78518e-03,3.45550e-03,597
2000,9.02666e-03,3.47034e-03,597
3000,9.85900e-03,3.51659e-03,597
4000,9.15816e-03,3.48497e-03,597
5000,9.52611e-03,3.46633e-03,597
6000,9.45761e-03,3.40782e-03,597
7000,9.55995e-03,3.47626e-03,597
8000,9.20948e-03,3.43619e-03,597
9000,9.25520e-03,3.49926e-03,597
10000,8.54865e-03,3.43075e-03,597
11000,9.22554e-03,3.44431e-03,597
12000,9.16466e-03,3.43951e-03,597
13000,9.06652e-03,3.47789e-03,597
14000,8.72420e-03,3.43621e-03,597
15000,9.08784e-03,3.47735e-03,597
16000,8.04756e-03,3.40373e-03,598
17000,8.96459e-03,3.40954e-03,598
18000,8.67599e-03,3.47550e-03,598
19000,8.74662e-03,3.39705e-03,598
20000,8.91364e-03,3.41852e-03,598
21000,8.46078e-03,3.47286e-03,598
22000,7.91863e-03,3.39047e-03,598
23000,9.07916e-03,3.49602e-03,598
24000,8.70189e-03,3.43016e-03,598
25000,9.30955e-03,3.50624e-03,598
26000,9.27436e-03,3.46086e-03,598
27000,8.74717e-03,3.52766e-03,598
28000,9.70857e-03,3.47205e-03,598
29000,8.73233e-03,3.43864e-03,598
30000,9.71438e-03,3.45294e-03,598
31000,1.01298e-02,3.47500e-03,598
32000,9.26391e-03,3.44252e-03,598
33000,8.67942e-03,3.42001e-03,598
34000,9.71391e-03,3.51903e-03,598
35000,9.47710e-03,3.49580e-03,598
36000,9.02296e-03,3.47653e-03,598
37000,9.62512e-03,3.51759e-03,599
38000,8.57582e-03,3.42428e-03,599
39000,9.01017e-03,3.48132e-03,599
40000,9.94492e-03,3.52205e-03,599
41000,8.10549e-03,3.43991e-03,599
42000,8.83400e-03,3.45067e-03,599
43000,8.58171e-03,3.41274e-03,599
44000,8.60495e-03,3.41537e-03,599
45000,9.10746e-03,3.41825e-03,599
46000,8.69628e-03,3.43484e-03,599
47000,8.97794e-03,3.44526e-03,599
48000,8.70031e-03,3.38302e-03,599
49000,9.55537e-03,3.44135e-03,599
50000,8.45264e-03,3.42266e-03,599
51000,9.28484e-03,3.48881e-03,599
52000,8.97993e-03,3.44342e-03,599
53000,9.31807e-03,3.48323e-03,599
54000,8.60000e-03,3.42199e-03,599
55000,9.16006e-03,3.49861e-03,599
56000,8.64788e-03,3.37681e-03,599
57000,9.09539e-03,3.42157e-03,599
58000,8.99613e-03,3.45387e-03,599
59000,8.76795e-03,3.46008e-03,599
60000,8.92037e-03,3.42173e-03,600
61000,9.66645e-03,3.52183e-03,600
62000,9.92631e-03,3.45660e-03,600
63000,8.82996e-03,3.39492e-03,600
64000,8.62097e-03,3.48595e-03,600
65000,8.79772e-03,3.50040e-03,600
66000,1.02074e-02,3.47321e-03,600
67000,9.07444e-03,3.49109e-03,600
68000,9.40593e-03,3.47328e-03,600
69000,8.65227e-03,3.44036e-03,600
70000,8.10815e-03,3.43221e-03,600
71000,9.05789e-03,3.41366e-03,600
72000,8.83442e-03,3.39615e-03,600
73000,9.30807e-03,3.48518e-03,600
74000,8.89848e-03,3.43919e-03,600
75000,9.50255e-03,3.45551e-03,600
76000,8.94118e-03,3.44371e-03,600
77000,8.62114e-03,3.41942e-03,600
78000,9.00634e-03,3.42100e-03,600
79000,9.85484e-03,3.49425e-03,600
80000,8.72815e-03,3.47204e-03,600
81000,8.80580e-03,3.45291e-03,600
82000,8.91871e-03,3.42861e-03,600
83000,9.60525e-03,3.45569e-03,601
84000,9.24711e-03,3.49485e-03,601
85000,9.26778e-03,3.41148e-03,601
86000,9.23705e-03,3.44582e-03,601
87000,9.16311e-03,3.46143e-03,601
88000,8.58711e-03,3.38830e-03,601
89000,8.14997e-03,3.37993e-03,601
90000,8.74637e-03,3.42599e-03,601
91000,9.50609e-03,3.42278e-03,601
92000,8.22356e-03,3.44294e-03,601
93000,8.80285e-03,3.41648e-03,601
94000,9.02923e-03,3.46798e-03,601
95000,8.08079e-03,3.42623e-03,601
96000,8.51701e-03,3.40242e-03,601
97000,7.95790e-03,3.37834e-03,601
98000,7.81171e-03,3.38724e-03,601
99000,8.34608e-03,3.39143e-03,601
