step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.08079e+00,1.92756e+06,1.93634e+06,1.92756e+06,1.82080e-01,4.20154e-01,40
1000,4.74573e-01,3.31194e-01,3.05949e-01,6.85438e-02,2.23957e-03,5.80201e-02,56
2000,4.56981e-01,2.94727e-01,2.50346e-01,3.87521e-02,8.95961e-04,2.44756e-02,61
3000,4.57345e-01,2.43210e-01,2.43799e-01,3.28889e-02,1.08008e-03,4.21765e-02,66
4000,4.57523e-01,2.25870e-01,2.51755e-01,2.07938e-02,1.89340e-03,6.69116e-02,71
5000,4.65867e-01,2.21235e-01,2.50327e-01,1.29369e-02,2.63981e-03,9.29481e-02,76
6000,4.63387e-01,2.48228e-01,2.19283e-01,1.73334e-02,2.43603e-03,1.01971e-01,82
7000,4.33509e-01,1.87498e-01,2.31819e-01,1.52985e-02,2.18647e-03,9.11253e-02,87
8000,4.49816e-01,2.15518e-01,2.44016e-01,2.33638e-02,2.99706e-03,1.06687e-01,92
9000,4.31821e-01,2.08172e-01,2.07022e-01,1.86330e-02,3.30792e-03,1.04725e-01,97
10000,4.39691e-01,1.94243e-01,1.91346e-01,1.63937e-02,3.33460e-03,8.20504e-02,102
11000,4.47204e-01,2.17233e-01,2.32235e-01,4.91332e-02,4.74773e-03,8.98846e-02,108
12000,4.56436e-01,2.06248e-01,2.03760e-01,1.12914e-02,4.50271e-03,8.22485e-02,113
13000,4.41296e-01,2.13960e-01,2.29913e-01,3.74902e-02,5.92722e-03,1.16496e-01,118
14000,4.59586e-01,1.79073e-01,1.99100e-01,1.84909e-02,5.12798e-03,1.14939e-01,123
15000,4.40962e-01,1.89022e-01,2.55878e-01,4.81409e-02,6.20052e-03,9.56971e-02,128
16000,4.47778e-01,2.06901e-01,2.03792e-01,2.83612e-02,7.92805e-03,1.26219e-01,134
17000,4.46367e-01,1.91182e-01,2.21180e-01,4.46767e-02,6.85163e-03,9.00486e-02,139
18000,4.47233e-01,1.89658e-01,2.35678e-01,2.25195e-02,7.60431e-03,9.33325e-02,144
19000,4.45812e-01,2.09169e-01,2.25780e-01,3.93100e-02,6.75757e-03,8.87778e-02,149
20000,4.52587e-01,1.99015e-01,2.11234e-01,2.42428e-02,7.26858e-03,8.64282e-02,154
